|    |   init_value |   peak_value |   warmup_steps |   decay_steps |   end_value |
|---:|-------------:|-------------:|---------------:|--------------:|------------:|
|  0 |  0.0001      |  0.001       |           2250 |          4500 | 5e-05       |
|  1 |  5e-05       |  0.0005      |           2250 |          4500 | 2.5e-05     |
|  2 |  2.5e-05     |  0.00025     |           2250 |          4500 | 1.25e-05    |
|  3 |  1.25e-05    |  0.000125    |           2250 |          4500 | 6.25e-06    |
|  4 |  6.25e-06    |  6.25e-05    |           2250 |          4500 | 3.125e-06   |
|  5 |  3.125e-06   |  3.125e-05   |           2250 |          4500 | 1.5625e-06  |
|  6 |  1.5625e-06  |  1.5625e-05  |           2250 |          4500 | 7.8125e-07  |
|  7 |  7.8125e-07  |  7.8125e-06  |           2250 |          4500 | 3.90625e-07 |
|  8 |  3.90625e-07 |  3.90625e-06 |           2250 |          4500 | 1.95313e-07 |
|  9 |  1.95313e-07 |  1.95313e-06 |           2250 |          4500 | 9.76563e-08 |
| 10 |  9.76563e-08 |  9.76563e-07 |           2250 |          4500 | 4.88281e-08 |
| 11 |  4.88281e-08 |  4.88281e-07 |           2250 |          4500 | 2.44141e-08 |
| 12 |  2.44141e-08 |  2.44141e-07 |           2250 |          4500 | 1.2207e-08  |
| 13 |  1.2207e-08  |  1.2207e-07  |           2250 |          4500 | 6.10352e-09 |
| 14 |  6.10352e-09 |  6.10352e-08 |           2250 |          4500 | 3.05176e-09 |
| 15 |  3.05176e-09 |  3.05176e-08 |           2250 |          4500 | 1.52588e-09 |
| 16 |  1.52588e-09 |  1.52588e-08 |           2250 |          4500 | 7.62939e-10 |
| 17 |  7.62939e-10 |  7.62939e-09 |           2250 |          4500 | 3.8147e-10  |
| 18 |  3.8147e-10  |  3.8147e-09  |           2250 |          4500 | 1.90735e-10 |
| 19 |  1.90735e-10 |  1.90735e-09 |           2250 |          4500 | 9.53674e-11 |
| 20 |  9.53674e-11 |  9.53674e-10 |           2250 |          4500 | 4.76837e-11 |
| 21 |  4.76837e-11 |  4.76837e-10 |           2250 |          4500 | 2.38419e-11 |
| 22 |  2.38419e-11 |  2.38419e-10 |           2250 |          4500 | 1.19209e-11 |
| 23 |  1.19209e-11 |  1.19209e-10 |           2250 |          4500 | 5.96046e-12 |
| 24 |  5.96046e-12 |  5.96046e-11 |           2250 |          4500 | 2.98023e-12 |
| 25 |  2.98023e-12 |  2.98023e-11 |           2250 |          4500 | 1.49012e-12 |
| 26 |  1.49012e-12 |  1.49012e-11 |           2250 |          4500 | 7.45058e-13 |
| 27 |  7.45058e-13 |  7.45058e-12 |           2250 |          4500 | 3.72529e-13 |
